Symbol,Sector,SM20,SM50,EPS TR,Price Change
CGC,Healthcare | Drug Manufacturers - Specialty Generic | Canada,-1.19%,-3.17%,Perfect,-17.15%
ABBV,Healthcare | Drug Manufacturers - General | USA,-2.97%,-8.03%,Ok,2.83%
CYBR,Technology | Software - Infrastructure | Israel,11.09%,11.01%,Bad,-2.63%
DUK,Utilities | Utilities - Regulated Electric | USA,-3.24%,-2.77%,Bad,-1.64%
PEP,Consumer Defensive | Beverages - Non-Alcoholic | USA,-0.49%,-3.90%,Ok,0.95%
PM,Consumer Defensive | Tobacco | USA,-1.10%,-0.47%,Ok,0.72%
WTW,Financial | Insurance Brokers | United Kingdom,1.50%,3.58%,Ok,-7.06%
HIMX,Technology | Semiconductors | Taiwan,5.89%,13.74%,Ok,-4.48%
LITE,Technology | Communication Equipment | USA,3.00%,9.97%,Ok,-1.42%
MT,Basic Materials | Steel | Luxembourg,-5.69%,2.46%,Good,0.41%
HII,Industrials | Aerospace Defense | USA,2.42%,-0.48%,Ok,-2.33%
KIM,Real Estate | REIT - Retail | USA,1.11%,1.80%,0.245,-3.38%
AZN,Healthcare | Drug Manufacturers - General | United Kingdom,-4.35%,-5.39%,Ok,4.75%
NSP,Industrials | Staffing Employment Services | USA,-0.51%,-1.94%,Ok,4.33%
RL,Consumer Cyclical | Apparel Manufacturing | USA,-3.99%,2.57%,Perfect,0.46%
K,Consumer Defensive | Packaged Foods | USA,-1.82%,-5.08%,Good,-0.10%
CCJ,Energy | Uranium | Canada,2.13%,12.44%,-2,4.39%
BAX,Healthcare | Medical Instruments Supplies | USA,0.70%,-7.06%,Ok,-12.13%
APO,Financial | Asset Management | USA,6.22%,11.17%,Good,-7.43%
TPR,Consumer Cyclical | Luxury Goods | USA,-2.11%,7.16%,Ok,3.47%
NNN,Real Estate | REIT - Retail | USA,-0.57%,1.09%,0.576,-1.92%
BWA,Consumer Cyclical | Auto Parts | USA,2.59%,8.74%,Perfect,2.83%
THC,Healthcare | Medical Care Facilities | USA,2.42%,10.88%,Perfect,3.92%
IPG,Communication Services | Advertising Agencies | USA,4.14%,9.85%,Ok,-2.75%
PATK,Industrials | Building Products Equipment | USA,6.61%,16.26%,Perfect,0.40%
SPGI,Financial | Financial Data Stock Exchanges | USA,-0.76%,3.25%,Bad,-0.60%
MAS,Industrials | Building Products Equipment | USA,4.06%,8.10%,Bad,-0.22%
TU,Communication Services | Telecom Services | Canada,-1.30%,1.18%,Ok,-3.74%
SEE,Consumer Cyclical | Packaging Containers | USA,-0.66%,2.24%,Ok,-6.55%
WEX,Technology | Software - Infrastructure | USA,3.12%,9.45%,Ok,7.06%
BRKR,Healthcare | Medical Devices | USA,1.38%,4.56%,Good,1.33%
CS,Financial | Banks - Diversified | Switzerland,2.07%,8.17%,Perfect,-15.64%
TRI,Industrials | Consulting Services | Canada,-0.69%,0.94%,Ok,-1.96%
ITT,Industrials | Specialty Industrial Machinery | USA,2.77%,8.12%,Ok,-3.10%
HLT,Consumer Cyclical | Lodging | USA,4.63%,8.32%,Good,2.39%
TTGT,Communication Services | Internet Content Information | USA,1.10%,7.65%,Ok,-15.26%
DBD,Technology | Software - Application | USA,20.24%,40.98%,-3.048,-14.44%
MDU,Basic Materials | Building Materials | USA,-1.03%,-0.82%,Bad,-0.99%
ARES,Financial | Asset Management | USA,6.86%,14.67%,Ok,-2.53%
WMG,Communication Services | Entertainment | USA,2.23%,4.44%,Perfect,-4.28%
TPX,"Consumer Cyclical | Furnishings, Fixtures Appliances | USA",2.96%,14.36%,Ok,1.10%
FAF,Financial | Insurance - Specialty | USA,1.50%,9.64%,Good,-6.50%
TIXT,Technology | Software - Infrastructure | Canada,-1.63%,6.58%,Ok,-3.03%
CIGI,Real Estate | Real Estate Services | Canada,6.07%,13.99%,0.601,6.53%
NSIT,Technology | Information Technology Services | USA,0.56%,7.05%,Good,11.47%
GTES,Industrials | Specialty Industrial Machinery | USA,1.96%,9.71%,Perfect,6.17%
ESMT,Technology | Software - Infrastructure | USA,2.03%,9.96%,Ok,3.22%
SSTK,Communication Services | Internet Content Information | USA,7.94%,24.41%,Perfect,4.62%
MSGE,Communication Services | Entertainment | USA,8.57%,14.90%,Perfect,11.68%
PDS,Energy | Oil Gas Drilling | Canada,-9.64%,-6.64%,Perfect,-13.91%
CSII,Healthcare | Medical Devices | USA,-3.86%,-3.60%,Good,48.38%
VERU,Healthcare | Drug Manufacturers - Specialty Generic | USA,-13.94%,-8.09%,Perfect,-22.61%
NETI,Industrials | Marine Shipping | Monaco,-4.04%,-0.37%,0.455,5.19%
BYRN,Industrials | Aerospace Defense | USA,0.94%,9.96%,Good,-8.84%
LVO,Communication Services | Entertainment | USA,20.79%,39.65%,Bad,2.11%
OESX,Industrials | Electrical Equipment Parts | USA,0.14%,-7.61%,Perfect,1.10%
