Symbol,Sector,SM20,SM50,EPS TR
CRON,Healthcare | Drug Manufacturers - Specialty Generic | Canada,-10.81%,-15.42%,Perfect
TGT,Consumer Defensive | Discount Stores | USA,-2.98%,3.51%,Bad
BMO,Financial | Banks - Diversified | Canada,-3.60%,0.12%,Ok
AAP,Consumer Cyclical | Specialty Retail | USA,-6.02%,-5.08%,Bad
AZO,Consumer Cyclical | Specialty Retail | USA,3.00%,5.48%,Good
BNS,Financial | Banks - Diversified | Canada,-2.73%,2.14%,Ok
DQ,Technology | Semiconductor Equipment Materials | China,2.36%,3.17%,Bad
CBRL,Consumer Cyclical | Restaurants | USA,-3.37%,2.62%,Ok
SJM,Consumer Defensive | Packaged Foods | USA,-0.94%,-3.33%,Good
DK,Energy | Oil Gas Refining Marketing | USA,3.58%,3.96%,Perfect
CHS,Consumer Cyclical | Apparel Retail | USA,-4.79%,-1.65%,Perfect
TGTX,Healthcare | Biotechnology | USA,-7.67%,18.53%,Bad
EHTH,Financial | Insurance Brokers | USA,1.41%,30.68%,Bad
NXST,Communication Services | Entertainment | USA,-4.43%,1.84%,Perfect
SRE,Utilities | Utilities - Diversified | USA,-1.66%,-1.88%,Ok
OMI,Healthcare | Medical Distribution | USA,-6.00%,-3.37%,Good
JLL,Real Estate | Real Estate Services | USA,-5.14%,-1.76%,Good
PCRX,Healthcare | Drug Manufacturers - Specialty Generic | USA,0.20%,3.77%,Bad
NCLH,Consumer Cyclical | Travel Services | USA,-1.18%,9.05%,Good
IGT,Consumer Cyclical | Gambling | United Kingdom,-3.05%,3.22%,Perfect
TCPC,Financial | Asset Management | USA,-0.66%,-0.96%,Ok
GOGO,Communication Services | Telecom Services | USA,-10.73%,-8.26%,Perfect
SEAS,Consumer Cyclical | Leisure | USA,-0.72%,7.52%,Good
AUPH,Healthcare | Biotechnology | Canada,-2.14%,14.13%,Bad
ADT,Industrials | Security Protection Services | USA,-6.27%,-11.28%,0.28
ITRN,Technology | Communication Equipment | Israel,-0.89%,0.03%,Bad
SRC,Real Estate | REIT - Diversified | USA,-3.08%,0.49%,0.557
XRAY,Healthcare | Medical Instruments Supplies | USA,-6.03%,-1.01%,Bad
AMWD,"Consumer Cyclical | Furnishings, Fixtures Appliances | USA",1.49%,7.57%,Good
BLDR,Industrials | Building Products Equipment | USA,0.92%,11.30%,Perfect
ALT,Healthcare | Biotechnology | USA,-10.18%,-14.25%,Bad
DORM,Consumer Cyclical | Auto Parts | USA,-2.17%,4.74%,Ok
BSY,Technology | Software - Application | USA,-2.92%,1.60%,Perfect
BKI,Technology | Software - Application | USA,-2.52%,-0.56%,Bad
NFE,Utilities | Utilities - Regulated Gas | USA,-1.09%,-2.32%,Ok
SHC,Healthcare | Diagnostics Research | USA,-2.04%,21.35%,Ok
FOUR,Technology | Software - Infrastructure | USA,-9.55%,-4.03%,Bad
OLPX,Consumer Cyclical | Specialty Retail | USA,-12.82%,-7.56%,Ok
PLTK,Communication Services | Electronic Gaming Multimedia | Israel,-4.71%,1.24%,Bad
PRVA,Healthcare | Health Information Services | USA,-0.12%,7.15%,0.545
AHCO,Healthcare | Medical Devices | USA,2.69%,6.28%,0.35
TWKS,Technology | Information Technology Services | USA,-14.20%,-14.19%,Perfect
HAYW,Industrials | Electrical Equipment Parts | USA,-4.18%,7.38%,Ok
PRFT,Technology | Information Technology Services | USA,-8.38%,-5.32%,Ok
KTB,Consumer Cyclical | Apparel Manufacturing | USA,-7.25%,-1.85%,Good
INSW,Energy | Oil Gas Midstream | USA,13.68%,23.13%,Ok
XPEL,Consumer Cyclical | Auto Parts | USA,-0.70%,9.96%,Good
FA,Industrials | Specialty Business Services | USA,-1.57%,1.28%,Ok
DKL,Energy | Oil Gas Refining Marketing | USA,0.59%,1.99%,Bad
VRTV,Industrials | Conglomerates | USA,3.06%,8.26%,Perfect
DEA,Real Estate | REIT - Office | USA,-5.77%,-1.84%,0.185
ECVT,Basic Materials | Specialty Chemicals | USA,-3.06%,4.11%,Good
WRBY,Healthcare | Medical Instruments Supplies | USA,-12.76%,-13.70%,Perfect
RDNT,Healthcare | Diagnostics Research | USA,0.24%,4.66%,0.579
HSKA,Healthcare | Medical Devices | USA,-4.95%,5.62%,0.12
VTNR,Energy | Oil Gas Refining Marketing | USA,6.57%,18.20%,0.607
LIND,Consumer Cyclical | Travel Services | USA,-4.06%,8.16%,Ok
MRSN,Healthcare | Biotechnology | USA,-14.62%,-11.96%,Perfect
CLOV,Healthcare | Healthcare Plans | USA,-5.39%,1.60%,Bad
TILE,"Consumer Cyclical | Furnishings, Fixtures Appliances | USA",-19.52%,-16.26%,Perfect
CVEO,Industrials | Specialty Business Services | USA,-6.51%,-1.15%,Perfect
ADCT,Healthcare | Biotechnology | Switzerland,-10.21%,-2.63%,0.697
FTCI,Technology | Solar | USA,0.44%,3.57%,Good
ZVIA,Consumer Defensive | Beverages - Non-Alcoholic | USA,-16.84%,-14.08%,Perfect
OCN,Financial | Mortgage Finance | USA,2.03%,7.03%,0.043
OCGN,Healthcare | Biotechnology | USA,-14.55%,-20.77%,Perfect
ALLT,Technology | Software - Infrastructure | Israel,-4.05%,0.57%,0.699
TAST,Consumer Cyclical | Restaurants | USA,-0.11%,12.57%,Ok
HTOO,Utilities | Utilities - Renewable | Ireland,7.15%,-7.84%,0.481
