Symbol,Sector,SM20,SM50,EPS TR,Price Change
TRS,Consumer Cyclical | Packaging Containers | USA,-0.75%,3.92%,Bad,-2.54%
NKLA,Industrials | Farm Heavy Construction Machinery | USA,-9.79%,-4.90%,Bad,-5.58%
CARS,Consumer Cyclical | Auto Truck Dealerships | USA,1.74%,13.42%,0.03,12.54%
SPTN,Consumer Defensive | Food Distribution | USA,-0.23%,0.37%,Good,-15.60%
SHYF,Industrials | Farm Heavy Construction Machinery | USA,-6.03%,4.98%,Perfect,-14.06%
KRP,Energy | Oil Gas E P | USA,-8.58%,-9.86%,Perfect,9.12%
RSKD,Technology | Software - Application | Israel,0.13%,11.83%,Bad,-6.19%
HOUS,Real Estate | Real Estate Services | USA,-13.41%,-4.77%,Bad,-12.04%
THRY,Communication Services | Internet Content Information | USA,5.06%,18.20%,Perfect,-0.33%
MYTE,Consumer Cyclical | Luxury Goods | Germany,-10.46%,-6.50%,Good,-6.72%
BAND,Technology | Software - Infrastructure | USA,-5.09%,-0.85%,0.131,-26.98%
RUTH,Consumer Cyclical | Restaurants | USA,5.57%,8.87%,Perfect,-0.05%
CYD,Industrials | Specialty Industrial Machinery | Singapore,-3.05%,5.88%,Good,1.69%
NREF,Real Estate | REIT - Mortgage | USA,-4.59%,1.49%,Good,2.85%
NAUT,Healthcare | Biotechnology | USA,-0.70%,7.11%,Bad,-7.00%
LAZY,Consumer Cyclical | Auto Truck Dealerships | USA,-1.35%,-0.30%,Bad,-6.27%
CTG,Technology | Information Technology Services | USA,-1.45%,-0.07%,Good,4.02%
CMLS,Communication Services | Broadcasting | USA,-4.06%,-7.38%,Bad,0.32%
IMUX,Healthcare | Biotechnology | USA,-14.27%,10.59%,Ok,4.23%
