Symbol,Sector,SM20,SM50,Avg. Volume,EPS TR,Price Change
WGO,Consumer Cyclical | Recreational Vehicles | USA | NYSE,5.62%,8.48%,480.33K,Perfect,-1.28%
PDCO,Healthcare | Medical Distribution | USA | NASD,4.38%,5.16%,712.08K,Ok,14.69%
